ID,River_Lake,Site,lat,lon
1,ABBAY,Nr. KESSIE,11.0546425021663,38.1543508245785
2,MUGA,Nr. DEJEN,10.1616909059901,38.1442648994127
3,AZUARI,Nr. MOTA,10.965076205914,38.0166934692083
4,TIGDAR,Nr.GUNDE WOIN,10.8863995747196,38.0307078416007
5,TEME,Nr. MOTA,10.4194935573109,37.9953482236835
6,SUHA,Nr. BICHENA,10.4157505335502,38.1854293064614
7,SEDIE,Nr. MOTA,11.0400000607477,37.9031464251884
8,YEDA,Nr. AMBER,10.2477960883967,37.8155763869316
9,CHEMOGA,Nr. DEBREMARKOS,10.2986144002434,37.7342300892775
10,JEDEB,Nr. AMA NUEL,10.3975453521151,37.5746624973169
11,GUDLA,@ DEMBECHA,10.5490516609955,37.4999762628477
12,BIRR,Nr. JIGA,10.6490472431857,37.3833106325456
13,TEMCHA,Nr. DEMBECHA,10.5335953851474,37.5079795999359
14,LEZA,Nr. JIGA,10.6653823670425,37.3339706860766
15,LAH,Nr. FINOTE SELAM,10.6793821635426,37.2664438607142
16,BOGENA,@ LUMAME,10.249714032461,37.9426081211671
17,ABAHIM,@ DEBREMARCOS,10.3074221917461,37.7054734045074
18,ABBAY,Nr. BURE,10.6123551654726,37.1344166414502
19,CHEREKA,@ YECHEREKA,10.5947078959795,37.4289042885685
20,TALIA,Nr. JIGA,10.802685169026,37.4179931463875
