ID,long,lat,alt,station_name,class,Region,Zone,Wereda
1,38.25000000000,10.05000000000,1860.00000000000,Filiklik,3.00000000000,Oromia,N/Shoa,Werejarso
2,38.14000000000,10.02000000000,2560.00000000000,Gohatsion,3.00000000000,Oromia,N/Shoa,Werejarso
3,37.49310000000,11.27450000000,2179.00000000000,Adet,1.00000000000,Amhara,W.Gojjam,Yilmanadenissa
4,37.73930000000,10.32570000000,2446.00000000000,Debere Markos,1.00000000000,,E.Gojjam,Gozamin
5,38.16230000000,10.65060000000,2508.00000000000,Debere Work,1.00000000000,,E.Gojjam,E.Enawuga
6,37.17160000000,10.59160000000,1707.00000000000,Lay Bir,1.00000000000,,W.Gojjam,Jabitenan
7,38.22370000000,11.06760000000,2417.00000000000,Motta,1.00000000000,,E.Gojjam,H.ense
8,38.10830000000,10.24490000000,2420.00000000000,Yetinora,1.00000000000,,E.Gojjam,Dejen
9,38.15670000000,10.11250000000,1823.00000000000,AbaySheleko,3.00000000000,,E.Gojjam,Dejen
10,37.56300000000,10.43250000000,2386.00000000000,Amanuel,3.00000000000,,E.Gojjam,Machakel
11,38.20350000000,10.44480000000,2532.00000000000,Bichena,3.00000000000,,E.Gojjam,Enemay
12,37.12990000000,10.71150000000,2107.00000000000,Burie,3.00000000000,,W.Gojjam,Burie
13,37.47410000000,10.30480000000,2234.00000000000,Debre Elias,3.00000000000,,E.Gojjam,D/Elias
14,37.48580000000,10.56560000000,2117.00000000000,Demebecha,3.00000000000,,W.Gojjam,Demebecha
15,37.74160000000,10.85400000000,2782.00000000000,DiguaTsion,3.00000000000,,E.Gojjam,Bibugn
16,37.60810000000,10.74080000000,2823.00000000000,Dingay Ber,3.00000000000,,W.Gojjam,Degadamot
17,37.26260000000,10.68160000000,1872.00000000000,Finote Selam,3.00000000000,,W.Gojjam,Jabitenana
18,37.10350000000,10.85710000000,2587.00000000000,Gundil,3.00000000000,,W.Gojjam,Sekela
19,38.34370000000,10.44490000000,2375.00000000000,Shebeleberenta,3.00000000000,,E.Gojjam,Shebeleberenta
20,36.95080000000,10.64410000000,2093.00000000000,Shindi,3.00000000000,,W.Gojjam,Wonberma
21,36.89020000000,10.53220000000,2050.00000000000,Wogedad,3.00000000000,,W.Gojjam,Wonberma
22,38.14660000000,10.32910000000,2418.00000000000,Yetimen,3.00000000000,,E.Gojjam,Enemay
23,37.84520000000,10.25350000000,2412.00000000000,Anedede,4.00000000000,,E.Gojjam,Aneded
24,38.15070000000,10.17120000000,2448.00000000000,Dejen,4.00000000000,,E.Gojjam,Dejen
25,38.06710000000,10.74270000000,2710.00000000000,Felege Birihan,4.00000000000,,E.Gojjam,E.Enawuga
26,37.60850000000,10.84990000000,3000.00000000000,Ferese Bet,4.00000000000,,W.Gojjam,Dega damot
27,37.42500000000,10.82100000000,1931.00000000000,Genet Abo,4.00000000000,,W.Gojjam,Quarit
28,37.60360000000,11.17520000000,2304.00000000000,Geregera,4.00000000000,,W.Gojjam,Gonchi Qolela
29,38.08910000000,10.92940000000,2052.00000000000,Gundowoin,4.00000000000,,E.Gojjam,S.enese
30,37.97190000000,10.97150000000,2529.00000000000,Keranyo,4.00000000000,,E.Gojjam,H.E.ense
31,36.97360000000,10.90170000000,2492.00000000000,Kessa,4.00000000000,,Awi,Banja shikudad
32,38.10350000000,11.30340000000,2350.00000000000,Komafasiledes,4.00000000000,,S.Gondar,ESTIE
33,37.94280000000,10.25100000000,2469.00000000000,Lumami,4.00000000000,,E.Gojjam,Awabel
34,37.17740000000,10.69860000000,1989.00000000000,Mankussa,4.00000000000,,W.Gojjam,Jabitenan
35,38.26750000000,10.87770000000,2676.00000000000,Mertolemariam,4.00000000000,,E.Gojjam,E.Sarmdir
36,37.43100000000,10.99600000000,2147.00000000000,Quarit,4.00000000000,,W.Gojjam,Quarit
37,37.76670000000,10.54810000000,2958.00000000000,RebuGebia,4.00000000000,,E.Gojjam,Sinan
38,36.98730000000,10.65590000000,2057.00000000000,Sebadir,4.00000000000,,W.Gojjam,wonberma
39,37.21370000000,10.98820000000,2715.00000000000,Sekela,4.00000000000,,W.Gojjam,Sekela
40,37.02690000000,10.85440000000,2450.00000000000,Tillili,4.00000000000,,Awi,G.shekudad
41,37.35010000000,10.52930000000,2013.00000000000,Wad Eyesus,4.00000000000,,W.Gojjam,Dembecha
42,37.42500000000,10.59750000000,2000.00000000000,Yechereka,4.00000000000,,W.Gojjam,Dembecha
43,37.74880000000,10.15330000000,2322.00000000000,Yejubie,4.00000000000,,E.Gojjam,Basoleben
44,38.48330000000,10.13300000000,2490.00000000000,Sererkula,4.00000000000,Oromiya,N.shewa,
